Datum,Schifffahrt
2016-08-30,1062021
2016-08-31,1062021
2016-09-01,630817
2016-09-02,630817
2016-09-03,630817
2016-09-04,630817
2016-09-05,630817
2016-09-06,630817
2016-09-07,630817
2016-09-08,630817
2016-09-09,630817
2016-09-10,630817
2016-09-11,630817
2016-09-12,630817
2016-09-13,630817
2016-09-14,630817
2016-09-15,630817
2016-09-16,630817
2016-09-17,630817
2016-09-18,630817
2016-09-19,630817
2016-09-20,630817
2016-09-21,630817
2016-09-22,630817
2016-09-23,630817
2016-09-24,630817
2016-09-25,630817
2016-09-26,630817
2016-09-27,630817
2016-09-28,630817
2016-09-29,630817
2016-09-30,630817
2016-10-01,579690
2016-10-02,579690
2016-10-03,579690
2016-10-04,579690
2016-10-05,579690
2016-10-06,579690
2016-10-07,579690
2016-10-08,579690
2016-10-09,579690
2016-10-10,579690
2016-10-11,579690
2016-10-12,579690
2016-10-13,579690
2016-10-14,579690
2016-10-15,579690
2016-10-16,579690
2016-10-17,579690
2016-10-18,579690
2016-10-19,579690
2016-10-20,579690
2016-10-21,579690
2016-10-22,579690
2016-10-23,579690
2016-10-24,579690
2016-10-25,579690
2016-10-26,579690
2016-10-27,579690
2016-10-28,579690
2016-10-29,579690
2016-10-30,579690
2016-10-31,579690
2016-11-01,338547
2016-11-02,338547
2016-11-03,338547
2016-11-04,338547
2016-11-05,338547
2016-11-06,338547
2016-11-07,338547
2016-11-08,338547
2016-11-09,338547
2016-11-10,338547
2016-11-11,338547
2016-11-12,338547
2016-11-13,338547
2016-11-14,338547
2016-11-15,338547
2016-11-16,338547
2016-11-17,338547
2016-11-18,338547
2016-11-19,338547
2016-11-20,338547
2016-11-21,338547
2016-11-22,338547
2016-11-23,338547
2016-11-24,338547
2016-11-25,338547
2016-11-26,338547
2016-11-27,338547
2016-11-28,338547
2016-11-29,338547
2016-11-30,338547
2016-12-01,380698
2016-12-02,380698
2016-12-03,380698
2016-12-04,380698
2016-12-05,380698
2016-12-06,380698
2016-12-07,380698
2016-12-08,380698
2016-12-09,380698
2016-12-10,380698
2016-12-11,380698
2016-12-12,380698
2016-12-13,380698
2016-12-14,380698
2016-12-15,380698
2016-12-16,380698
2016-12-17,380698
2016-12-18,380698
2016-12-19,380698
2016-12-20,380698
2016-12-21,380698
2016-12-22,380698
2016-12-23,380698
